temperature,top_p,top_k,overall_accuracy,binary_accuracy,entity_accuracy,numerical_temporal_accuracy
0.0,0.7,10,0.35106382978723405,0.48936170212765956,0.22340425531914893,0.3404255319148936
0.0,0.7,40,0.34397163120567376,0.48936170212765956,0.19148936170212766,0.35106382978723405
0.0,0.7,100,0.35815602836879434,0.46808510638297873,0.22340425531914893,0.3829787234042553
0.0,0.9,10,0.3617021276595745,0.4787234042553192,0.22340425531914893,0.3829787234042553
0.0,0.9,40,0.3546099290780142,0.5106382978723404,0.2127659574468085,0.3404255319148936
0.0,0.9,100,0.36879432624113473,0.5106382978723404,0.2127659574468085,0.3829787234042553
0.0,1.0,10,0.34397163120567376,0.5,0.18085106382978725,0.35106382978723405
0.0,1.0,40,0.3617021276595745,0.4787234042553192,0.22340425531914893,0.3829787234042553
0.0,1.0,100,0.3262411347517731,0.43617021276595747,0.19148936170212766,0.35106382978723405
0.5,0.7,10,0.3475177304964539,0.44680851063829785,0.23404255319148937,0.3617021276595745
0.5,0.7,40,0.35106382978723405,0.4787234042553192,0.20212765957446807,0.3723404255319149
0.5,0.7,100,0.3723404255319149,0.5319148936170213,0.2127659574468085,0.3723404255319149
0.5,0.9,10,0.35106382978723405,0.48936170212765956,0.22340425531914893,0.3404255319148936
0.5,0.9,40,0.3723404255319149,0.5212765957446809,0.22340425531914893,0.3723404255319149
0.5,0.9,100,0.36879432624113473,0.5106382978723404,0.19148936170212766,0.40425531914893614
0.5,1.0,10,0.3723404255319149,0.5212765957446809,0.2127659574468085,0.3829787234042553
0.5,1.0,40,0.33687943262411346,0.43617021276595747,0.19148936170212766,0.3829787234042553
0.5,1.0,100,0.34397163120567376,0.48936170212765956,0.19148936170212766,0.35106382978723405
1.0,0.7,10,0.3475177304964539,0.43617021276595747,0.2127659574468085,0.39361702127659576
1.0,0.7,40,0.35106382978723405,0.46808510638297873,0.23404255319148937,0.35106382978723405
1.0,0.7,100,0.3120567375886525,0.3829787234042553,0.19148936170212766,0.3617021276595745
1.0,0.9,10,0.36524822695035464,0.46808510638297873,0.2765957446808511,0.35106382978723405
1.0,0.9,40,0.3475177304964539,0.4574468085106383,0.2127659574468085,0.3723404255319149
1.0,0.9,100,0.36879432624113473,0.5106382978723404,0.22340425531914893,0.3723404255319149
1.0,1.0,10,0.3723404255319149,0.48936170212765956,0.23404255319148937,0.39361702127659576
1.0,1.0,40,0.3475177304964539,0.4787234042553192,0.22340425531914893,0.3404255319148936
1.0,1.0,100,0.34397163120567376,0.4787234042553192,0.20212765957446807,0.35106382978723405
